State,County,ZIP,Target Home Value Range,Estimated Population,Estimated Lead Volume,Priority,Reason,Suggested Lead Pull Criteria
AL,Alabaster Zip Market,35007,$182k-$350k,78.0,78.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Theodore Zip Market,36582,$131k-$341k,70.0,70.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Wetumpka Zip Market,36092,$160k-$350k,55.0,55.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Phenix City Zip Market,36867,$152k-$350k,59.0,59.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Toney Zip Market,35773,$175k-$350k,86.0,86.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Dothan Zip Market,36303,$139k-$350k,98.0,98.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Phenix City Zip Market,36870,$147k-$350k,55.0,55.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Athens Zip Market,35613,$245k-$350k,310.0,310.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Daphne Zip Market,36527,$227k-$350k,130.0,130.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mc Calla Zip Market,35111,$184k-$350k,95.0,95.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Prattville Zip Market,36067,$169k-$350k,48.0,48.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35226,$265k-$350k,104.0,104.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Decatur Zip Market,35601,$124k-$325k,121.0,121.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Lincoln Zip Market,35096,$137k-$350k,45.0,45.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35214,$79k-$206k,47.0,47.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Tuscumbia Zip Market,35674,$126k-$329k,96.0,96.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Gardendale Zip Market,35071,$151k-$350k,50.0,50.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Prattville Zip Market,36066,$198k-$350k,40.0,40.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Tuscaloosa Zip Market,35404,$152k-$350k,76.0,76.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Huntsville Zip Market,35803,$228k-$350k,144.0,144.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35206,$75k-$164k,78.0,78.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Pike Road Zip Market,36064,$236k-$350k,90.0,90.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Fort Mitchell Zip Market,36856,$189k-$350k,33.0,33.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Montgomery Zip Market,36111,$131k-$342k,66.0,66.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35209,$218k-$350k,51.0,51.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35210,$170k-$350k,39.0,39.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Oxford Zip Market,36203,$148k-$350k,45.0,45.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Huntsville Zip Market,35806,$236k-$350k,113.0,113.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Hanceville Zip Market,35077,$151k-$350k,62.0,62.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mobile Zip Market,36611,$75k-$179k,21.0,21.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35228,$75k-$123k,51.0,51.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mobile Zip Market,36605,$75k-$195k,49.0,49.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Millbrook Zip Market,36054,$158k-$350k,21.0,21.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Dothan Zip Market,36305,$203k-$350k,53.0,53.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Adamsville Zip Market,35005,$75k-$172k,25.0,25.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Grand Bay Zip Market,36541,$157k-$350k,42.0,42.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35205,$157k-$350k,87.0,87.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Jemison Zip Market,35085,$131k-$342k,22.0,22.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Springville Zip Market,35146,$199k-$350k,70.0,70.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Northport Zip Market,35473,$177k-$350k,49.0,49.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Opelika Zip Market,36804,$169k-$350k,87.0,87.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Gadsden Zip Market,35905,$146k-$350k,28.0,28.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Columbiana Zip Market,35051,$168k-$350k,38.0,38.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Tuscaloosa Zip Market,35401,$249k-$350k,159.0,159.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Jacksonville Zip Market,36265,$135k-$350k,28.0,28.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Gulf Shores Zip Market,36542,$283k-$350k,859.0,859.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Moundville Zip Market,35474,$168k-$350k,22.0,22.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Attalla Zip Market,35954,$110k-$288k,27.0,27.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35212,$118k-$307k,55.0,55.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Berry Zip Market,35546,$181k-$350k,19.0,19.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Smiths Station Zip Market,36877,$198k-$350k,52.0,52.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Bessemer Zip Market,35020,$75k-$130k,68.0,68.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Vance Zip Market,35490,$150k-$350k,18.0,18.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Lillian Zip Market,36549,$170k-$350k,46.0,46.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Hamilton Zip Market,35570,$131k-$342k,32.0,32.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Sheffield Zip Market,35660,$92k-$240k,41.0,41.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Gadsden Zip Market,35901,$178k-$350k,68.0,68.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Clanton Zip Market,35045,$131k-$342k,64.0,64.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Hayden Zip Market,35079,$122k-$319k,24.0,24.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Huntsville Zip Market,35805,$113k-$294k,59.0,59.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Daleville Zip Market,36322,$92k-$240k,17.0,17.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Childersburg Zip Market,35044,$103k-$269k,24.0,24.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Piedmont Zip Market,36272,$92k-$240k,34.0,34.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Brewton Zip Market,36426,$104k-$273k,35.0,35.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35204,$75k-$136k,34.0,34.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mobile Zip Market,36617,$75k-$178k,14.0,14.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Weaver Zip Market,36277,$93k-$243k,14.0,14.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Pleasant Grove Zip Market,35127,$121k-$315k,28.0,28.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35224,$75k-$111k,22.0,22.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Crossville Zip Market,35962,$125k-$327k,19.0,19.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Oneonta Zip Market,35121,$194k-$350k,39.0,39.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Headland Zip Market,36345,$187k-$350k,51.0,51.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Huntsville Zip Market,35816,$96k-$249k,34.0,34.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Boaz Zip Market,35957,$131k-$342k,45.0,45.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Gadsden Zip Market,35907,$199k-$350k,35.0,35.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Auburn Zip Market,36832,$232k-$350k,145.0,145.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35222,$207k-$350k,40.0,40.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Summerdale Zip Market,36580,$210k-$350k,37.0,37.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Salem Zip Market,36874,$241k-$350k,54.0,54.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Moulton Zip Market,35650,$157k-$350k,31.0,31.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35218,$75k-$146k,28.0,28.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Dadeville Zip Market,36853,$336k-$350k,174.0,174.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Red Bay Zip Market,35582,$93k-$243k,12.0,12.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Heflin Zip Market,36264,$139k-$350k,27.0,27.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Lanett Zip Market,36863,$113k-$294k,35.0,35.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Satsuma Zip Market,36572,$167k-$350k,12.0,12.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
